[TYPE],,,,,
Mixed CSV,,,,,
[INFOMATION],,,,,
120.1,1056.33,5.993,599.3,573.25,0
120.2,1055.348,5.998,599.8,572.717,0
120.3,1054.578,6.0035,600.35,572.299,0
120.4,1053.945,6.0085,600.85,571.956,0
120.5,1052.579,6.0135,601.35,571.215,0
120.6,1051.997,6.019,601.9,570.899,0
120.7,1051.092,6.024,602.4,570.407,0
120.8,1049.832,6.029,602.9,569.724,0
120.9,1049.382,6.034,603.4,569.479,0
121,1048.226,6.039,603.9,568.852,0
121.1,1047.075,6.044,604.4,568.228,0
121.2,1046.727,6.049,604.9,568.039,0
121.3,1044.974,6.0535,605.35,567.087,0
121.4,1044.132,6.059,605.9,566.63,0
121.5,1043.657,6.0635,606.35,566.373,0
121.6,1042.368,6.0685,606.85,565.673,0
121.7,1041.708,6.0735,607.35,565.315,0
121.8,1041.006,6.0785,607.85,564.934,0
121.9,1039.791,6.083,608.3,564.275,0
122,1039.167,6.0885,608.85,563.936,0
122.1,1038.185,6.0935,609.35,563.403,0
122.2,1037.001,6.0985,609.85,562.761,0
122.3,1036.405,6.104,610.4,562.437,0
122.4,1035.138,6.1085,610.85,561.75,0
122.5,1033.976,6.114,611.4,561.119,0
122.6,1033.41,6.119,611.9,560.812,0
122.7,1031.947,6.124,612.4,560.018,0
122.8,1031.107,6.129,612.9,559.562,0
122.9,1030.124,6.134,613.4,559.028,0
123,1028.621,6.1385,613.85,558.213,0
123.1,1028.199,6.144,614.4,557.984,0
123.2,1027.034,6.1485,614.85,557.352,0
123.3,1025.683,6.153,615.3,556.619,0
123.4,1025.223,6.1585,615.85,556.369,0
123.5,1024.026,6.163,616.3,555.719,0
123.6,1022.92,6.1685,616.85,555.119,0
123.7,1022.231,6.1735,617.35,554.745,0
123.8,1020.862,6.1785,617.85,554.002,0
123.9,1019.835,6.184,618.4,553.445,0
124,1019.029,6.189,618.9,553.007,0
124.1,1017.674,6.194,619.4,552.272,0
124.2,1016.674,6.199,619.9,551.73,0
124.3,1015.651,6.204,620.4,551.175,0
124.4,1013.97,6.209,620.9,550.262,0
124.5,1013.36,6.2145,621.45,549.931,0
124.6,1011.91,6.219,621.9,549.144,0
124.7,1010.694,6.224,622.4,548.484,0
124.8,1009.987,6.229,622.9,548.101,0
124.9,1008.588,6.2335,623.35,547.341,0
125,1007.468,6.2385,623.85,546.734,0
125.1,1006.928,6.2435,624.35,546.44,0
125.2,1005.531,6.2485,624.85,545.682,0
125.3,1004.599,6.2535,625.35,545.177,0
125.4,1003.712,6.2585,625.85,544.695,0
125.5,1002.119,6.2635,626.35,543.831,0
125.6,1001.196,6.269,626.9,543.33,0
125.7,1000.022,6.274,627.4,542.693,0
125.8,998.571,6.279,627.9,541.905,0
125.9,997.563,6.284,628.4,541.358,0
126,996.163,6.289,628.9,540.599,0
126.1,994.718,6.294,629.4,539.815,0
126.2,994.004,6.299,629.9,539.427,0
126.3,992.195,6.304,630.4,538.445,0
126.4,991.047,6.309,630.9,537.822,0
126.5,990.125,6.3135,631.35,537.322,0
126.6,988.678,6.3185,631.85,536.537,0
126.7,987.533,6.3235,632.35,535.915,0
126.8,986.385,6.3285,632.85,535.292,0
126.9,985.144,6.3335,633.35,534.619,0
127,984.141,6.3385,633.85,534.074,0
127.1,982.966,6.3435,634.35,533.437,0
127.2,981.452,6.349,634.9,532.615,0
127.3,980.421,6.354,635.4,532.056,0
127.4,978.805,6.359,635.9,531.179,0
127.5,977.424,6.3645,636.45,530.429,0
127.6,976.451,6.3695,636.95,529.901,0
127.7,974.578,6.374,637.4,528.885,0
127.8,973.47,6.3795,637.95,528.283,0
127.9,972.138,6.384,638.4,527.561,0
128,970.141,6.389,638.9,526.477,0
128.1,969.327,6.394,639.4,526.035,0
128.2,968.025,6.399,639.9,525.329,0
128.3,966.356,6.4035,640.35,524.423,0
128.4,965.357,6.4085,640.85,523.881,0
128.5,964.085,6.4135,641.35,523.19,0
128.6,962.557,6.4185,641.85,522.362,0
128.7,961.646,6.424,642.4,521.867,0
128.8,960.014,6.4285,642.85,520.981,0
128.9,958.596,6.434,643.4,520.212,0
129,957.273,6.439,643.9,519.494,0
129.1,955.491,6.444,644.4,518.527,0
129.2,954.139,6.4495,644.95,517.793,0
129.3,952.662,6.454,645.4,516.991,0
129.4,950.664,6.459,645.9,515.907,0
129.5,949.659,6.4645,646.45,515.362,0
129.6,947.892,6.469,646.9,514.403,0
129.7,946.201,6.474,647.4,513.485,0
129.8,945.261,6.479,647.9,512.975,0
129.9,943.444,6.4835,648.35,511.989,0
130,941.719,6.4885,648.85,511.053,0
130.1,940.796,6.4935,649.35,510.552,0
130.2,939.13,6.4985,649.85,509.648,0
130.3,937.373,6.5035,650.35,508.694,0
130.4,935.935,6.509,650.9,507.914,0
130.5,934.242,6.514,651.4,506.995,0
130.6,932.877,6.519,651.9,506.255,0
130.7,931.12,6.524,652.4,505.301,0
130.8,929.016,6.529,652.9,504.159,0
130.9,927.891,6.5345,653.45,503.549,0
131,925.966,6.539,653.9,502.504,0
131.1,924.104,6.5445,654.45,501.493,0
131.2,922.678,6.5495,654.95,500.72,0
131.3,920.63,6.554,655.4,499.608,0
131.4,918.974,6.559,655.9,498.71,0
131.5,917.448,6.564,656.4,497.881,0
131.6,915.541,6.5685,656.85,496.847,0
131.7,913.822,6.574,657.4,495.913,0
131.8,912.462,6.5785,657.85,495.176,0
131.9,910.493,6.5835,658.35,494.107,0
132,908.834,6.589,658.9,493.207,0
132.1,907.048,6.594,659.4,492.238,0
132.2,905.133,6.599,659.9,491.198,0
132.3,903.429,6.6045,660.45,490.274,0
132.4,901.107,6.609,660.9,489.013,0
132.5,899.079,6.6145,661.45,487.913,0
132.6,897.051,6.6195,661.95,486.813,0
132.7,893.974,6.6245,662.45,485.143,0
132.8,805.261,6.635,663.5,437,0
132.9,72.516,6.6375,663.75,39.353,0
133,4.303,6.642,664.2,2.335,0
133.1,-2.2,6.647,664.7,-1.194,0
133.2,-2.917,6.6515,665.15,-1.583,0
133.3,-2.839,6.6565,665.65,-1.541,0
133.4,-2.836,6.6615,666.15,-1.539,0
133.5,-2.871,6.6665,666.65,-1.558,0
133.6,-2.941,6.6715,667.15,-1.596,0
133.7,-2.881,6.6765,667.65,-1.563,0
133.8,-2.95,6.6815,668.15,-1.601,0
133.9,-2.981,6.687,668.7,-1.618,0
134,-2.918,6.692,669.2,-1.584,0
134.1,-3.041,6.697,669.7,-1.65,0
134.2,-2.863,6.7025,670.25,-1.554,0
134.3,-3.111,6.707,670.7,-1.688,0
134.4,-3.087,6.712,671.2,-1.675,0
134.5,-2.906,6.7175,671.75,-1.577,0
134.6,-2.937,6.722,672.2,-1.594,0
134.7,-2.96,6.727,672.7,-1.606,0
134.8,-3.001,6.732,673.2,-1.628,0
134.9,-3.012,6.7365,673.65,-1.635,0
135,-3.07,6.7415,674.15,-1.666,0
