[TYPE],,,,,
Mixed CSV,,,,,
[INFOMATION],,,,,
26.7,983.06,1.323,132.3,533.488,0
26.8,984.236,1.3275,132.75,534.126,0
26.9,984.883,1.3325,133.25,534.477,0
27,986.042,1.338,133.8,535.106,0
27.1,987.15,1.343,134.3,535.708,0
27.2,987.862,1.348,134.8,536.094,0
27.3,989.273,1.3535,135.35,536.86,0
27.4,989.844,1.358,135.8,537.169,0
27.5,990.628,1.3635,136.35,537.595,0
27.6,991.809,1.3685,136.85,538.236,0
27.7,992.156,1.3735,137.35,538.424,0
27.8,993.271,1.3785,137.85,539.029,0
27.9,994.455,1.3835,138.35,539.672,0
28,994.813,1.388,138.8,539.866,0
28.1,995.813,1.393,139.3,540.409,0
28.2,996.851,1.398,139.8,540.972,0
28.3,997.526,1.4025,140.25,541.338,0
28.4,998.698,1.408,140.8,541.975,0
28.5,999.421,1.4125,141.25,542.367,0
28.6,1000.209,1.4175,141.75,542.795,0
28.7,1001.509,1.423,142.3,543.5,0
28.8,1002.265,1.428,142.8,543.91,0
28.9,1003.104,1.433,143.3,544.365,0
29,1004.22,1.438,143.8,544.971,0
29.1,1004.776,1.443,144.3,545.273,0
29.2,1006.087,1.4485,144.85,545.984,0
29.3,1006.987,1.453,145.3,546.472,0
29.4,1007.16,1.458,145.8,546.567,0
29.5,1008.685,1.4635,146.35,547.394,0
29.6,1009.272,1.468,146.8,547.713,0
29.7,1009.565,1.473,147.3,547.871,0
29.8,1011.009,1.478,147.8,548.655,0
29.9,1011.533,1.4825,148.25,548.94,0
30,1012.296,1.4875,148.75,549.354,0
30.1,1013.463,1.493,149.3,549.987,0
30.2,1014.218,1.4975,149.75,550.397,0
30.3,1015.007,1.503,150.3,550.825,0
30.4,1016.279,1.508,150.8,551.515,0
30.5,1016.777,1.5125,151.25,551.785,0
30.6,1017.912,1.518,151.8,552.401,0
30.7,1018.763,1.523,152.3,552.863,0
30.8,1019.214,1.528,152.8,553.108,0
30.9,1020.542,1.5335,153.35,553.829,0
31,1020.917,1.538,153.8,554.032,0
31.1,1021.479,1.543,154.3,554.337,0
31.2,1022.905,1.5485,154.85,555.111,0
31.3,1023.034,1.553,155.3,555.181,0
31.4,1023.817,1.558,155.8,555.606,0
31.5,1024.858,1.5625,156.25,556.171,0
31.6,1025.225,1.567,156.7,556.37,0
31.7,1026.106,1.5725,157.25,556.848,0
31.8,1027.197,1.577,157.7,557.44,0
31.9,1027.666,1.582,158.2,557.695,0
32,1028.83,1.5875,158.75,558.327,0
32.1,1029.538,1.5925,159.25,558.711,0
32.2,1030.17,1.5975,159.75,559.054,0
32.3,1031.447,1.6025,160.25,559.747,0
32.4,1031.784,1.6075,160.75,559.929,0
32.5,1032.471,1.6125,161.25,560.303,0
32.6,1033.655,1.618,161.8,560.945,0
32.7,1033.931,1.6225,162.25,561.095,0
32.8,1034.826,1.6275,162.75,561.58,0
